Year,GP,W,L,WP,MIN,FGM,FGA,FGP,TPM,TPA,TP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PM,Position
2000-01,82,30,52,36.6,48.4,35.2,79.7,44.2,2.7,8,33.4,19,24.9,76.5,12.4,29.8,42.1,20.8,16.5,7.8,5.3,6.6,23.2,0,92.5,-5.2,12
2001-02,82,29,53,35.4,48.4,36,80.3,44.8,4.7,12.5,37.7,18.6,24.1,77.2,11.8,30.3,42.1,23.1,14.6,7,5.7,5.6,21.4,0.1,95.3,-3.3,14
2002-03,82,17,65,20.7,48.4,34.8,82.3,42.2,3.6,10.9,32.7,18.3,24.5,74.7,13.6,31,44.6,20.9,18.3,7.8,6.4,6,22.7,0.1,91.4,-9.6,16
2003-04,82,35,47,42.7,48.4,35.6,82.4,43.3,3,9.6,31.4,18.6,24.7,75.3,13.6,31.9,45.6,22,14.8,7.1,6.5,5.3,21.3,0,92.9,-2.6,10
2004-05,82,42,40,51.2,48.4,36.5,81.5,44.7,3.7,11,33.2,19.9,26.5,75.2,13.6,28.7,42.3,22.6,13.9,8,5.6,5.1,22.6,0,96.5,0.8,8
2005-06,82,50,32,61,48.4,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19,13.9,6.9,4.8,4.4,21.1,22.5,97.6,2.2,2
2006-07,82,50,32,61,48.5,36.3,81.2,44.7,6,17.1,35.2,18.1,26,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22,96.8,3.8,2
2007-08,82,45,37,54.9,48.4,35.8,81.7,43.9,6.7,18.8,35.8,18,25.1,71.7,13.3,31.3,44.6,20,14,7.1,5.2,4.7,20.9,20.3,96.4,-0.4,4
2008-09,82,66,16,80.5,48.2,36.9,78.7,46.8,8,20.4,39.3,18.6,24.5,75.7,10.8,31.4,42.2,20.3,12.7,7.2,5.3,4.1,20.3,20.3,100.3,8.9,1
2009-10,82,61,21,74.4,48.2,37.8,77.9,48.5,7.3,19.3,38.1,19.1,26.6,72,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4,19.4,20.8,102.1,6.5,1
2010-11,82,19,63,23.2,48.2,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21,14.2,6.6,4.2,6,20.1,21.3,95.5,-9,15
2011-12,66,21,45,31.8,48.4,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,15.4,7.1,4,6.2,20,20.9,93,-7.2,13
2012-13,82,24,58,29.3,48.1,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,12.2,28.8,41,20.7,14,7.9,4.1,6.8,21.2,19.7,96.5,-4.7,13
2013-14,82,33,49,40.2,48.6,37,84.8,43.7,7.1,20,35.6,17,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20,19.5,98.2,-3.3,10
